frame,timestamp,motion
1148,19.152,0.01895
1152,19.219,0.014722
1156,19.286,0.013161
1160,19.353,0.012051
1164,19.419,0.006897
1168,19.486,0.005833
1172,19.553,0.005961
1176,19.62,0.005507
1180,19.686,0.005294
1184,19.753,0.004818
1188,19.82,0.006462
1192,19.887,0.005374
1196,19.953,0.004305
1200,20.02,0.00439
1204,20.087,0.003577
1208,20.153,0.003809
1212,20.22,0.005226
1216,20.287,0.008533
1220,20.354,0.007369
1224,20.42,0.006444
1228,20.487,0.006237
1232,20.554,0.008444
1236,20.621,0.010156
1240,20.687,0.014087
1244,20.754,0.013711
1248,20.821,0.014903
1252,20.888,0.014398
1256,20.954,0.015344
1260,21.021,0.017324
1264,21.088,0.020167
1268,21.154,0.022777
1272,21.221,0.022451
1276,21.288,0.02263
1280,21.355,0.02611
1284,21.421,0.024291
1288,21.488,0.023546
1292,21.555,0.022505
1296,21.622,0.019556
1300,21.688,0.017607
1304,21.755,0.016135
1308,21.822,0.013938
1312,21.889,0.012576
1316,21.955,0.012591
1320,22.022,0.013173
1324,22.089,0.013123
1328,22.155,0.013495
1332,22.222,0.012771
1336,22.289,0.013511
1340,22.356,0.012902
1344,22.422,0.012031
1348,22.489,0.013533
1352,22.556,0.013215
1356,22.623,0.011924
1360,22.689,0.012979
1364,22.756,0.012991
1368,22.823,0.012052
1372,22.89,0.01178
1376,22.956,0.010613
1380,23.023,0.009208
1384,23.09,0.008932
1388,23.156,0.007804
1392,23.223,0.006997
1396,23.29,0.006369
1400,23.357,0.005553
1404,23.423,0.00508
1408,23.49,0.005231
1412,23.557,0.00592
1416,23.624,0.006479
1420,23.69,0.007057
1424,23.757,0.007505
1428,23.824,0.007979
1432,23.891,0.007727
1436,23.957,0.008266
1440,24.024,0.010838
1444,24.091,0.008595
1448,24.157,0.008661
1452,24.224,0.008176
1456,24.291,0.006939
1460,24.358,0.007366
1464,24.424,0.007683
1468,24.491,0.006987
1472,24.558,0.00791
1476,24.625,0.008153
1480,24.691,0.00673
1484,24.758,0.007875
1488,24.825,0.007855
1492,24.892,0.006783
1496,24.958,0.008166
1500,25.025,0.008194
1504,25.092,0.007288
1508,25.158,0.008758
1512,25.225,0.008325
1516,25.292,0.008038
1520,25.359,0.008754
1524,25.425,0.008159
1528,25.492,0.007946
1532,25.559,0.007926
1536,25.626,0.006727
1540,25.692,0.007165
1544,25.759,0.008166
1548,25.826,0.007204
1552,25.893,0.007718
1556,25.959,0.008796
1560,26.026,0.008026
1564,26.093,0.008569
1568,26.159,0.008958
1572,26.226,0.007874
1576,26.293,0.008189
1580,26.36,0.008037
1584,26.426,0.007594
1588,26.493,0.007602
1592,26.56,0.00744
1596,26.627,0.007362
1600,26.693,0.008221
1604,26.76,0.008327
1608,26.827,0.008398
1612,26.894,0.008941
1616,26.96,0.009549
1620,27.027,0.010553
1624,27.094,0.011939
1628,27.16,0.013229
1632,27.227,0.015147
1636,27.294,0.015933
1640,27.361,0.016434
1644,27.427,0.016187
1648,27.494,0.014328
1652,27.561,0.014245
1656,27.628,0.01377
1660,27.694,0.011701
1664,27.761,0.010413
1668,27.828,0.008214
1672,27.895,0.005429
1676,27.961,0.005806
1680,28.028,0.00819
1684,28.095,0.008898
1688,28.161,0.011
1692,28.228,0.011837
1696,28.295,0.011567
1700,28.362,0.012902
1704,28.428,0.013049
1708,28.495,0.012251
1712,28.562,0.01157
1716,28.629,0.010495
1720,28.695,0.008982
1724,28.762,0.009202
1728,28.829,0.008319
1732,28.896,0.007248
1736,28.962,0.00759
1740,29.029,0.007495
1744,29.096,0.007999
1748,29.162,0.008885
1752,29.229,0.007759
1756,29.296,0.007746
1760,29.363,0.006614
1764,29.429,0.004143
1768,29.496,0.00623
1772,29.563,0.007098
1776,29.63,0.006898
1780,29.696,0.008155
1784,29.763,0.008117
1788,29.83,0.007975
1792,29.897,0.008025
1796,29.963,0.005916
1800,30.03,0.007619
1804,30.097,0.006068
1808,30.163,0.005355
1812,30.23,0.006152
