frame,timestamp,motion
4,0.067,0.003678
8,0.133,0.000165
12,0.2,0.000147
16,0.267,0.000364
20,0.334,0.000177
24,0.4,0.000251
28,0.467,0.000222
32,0.534,0.004668
36,0.601,0.000919
40,0.667,0.001079
44,0.734,0.007043
48,0.801,0.00236
52,0.868,0.002207
56,0.934,0.002862
60,1.001,0.003994
64,1.068,0.003975
68,1.134,0.004009
72,1.201,0.004984
76,1.268,0.004936
80,1.335,0.004978
84,1.401,0.005342
88,1.468,0.007023
92,1.535,0.006515
96,1.602,0.005392
100,1.668,0.006688
104,1.735,0.005479
108,1.802,0.004734
112,1.869,0.004967
116,1.935,0.006354
120,2.002,0.005175
124,2.069,0.004997
128,2.135,0.006216
132,2.202,0.00582
136,2.269,0.006838
140,2.336,0.007816
144,2.402,0.009656
148,2.469,0.008015
152,2.536,0.008916
156,2.603,0.008647
160,2.669,0.007584
164,2.736,0.007306
168,2.803,0.007397
172,2.87,0.008543
176,2.936,0.006976
180,3.003,0.007246
184,3.07,0.006266
188,3.136,0.004266
192,3.203,0.004517
196,3.27,0.00451
200,3.337,0.005626
204,3.403,0.00391
208,3.47,0.003859
212,3.537,0.006098
216,3.604,0.003516
220,3.67,0.002887
224,3.737,0.00326
228,3.804,0.00441
232,3.871,0.002524
236,3.937,0.003046
240,4.004,0.006354
244,4.071,0.003956
248,4.137,0.003653
252,4.204,0.004669
256,4.271,0.005639
260,4.338,0.005178
264,4.404,0.006244
268,4.471,0.007946
272,4.538,0.009097
276,4.605,0.008302
280,4.671,0.007803
284,4.738,0.006764
288,4.805,0.005601
292,4.872,0.005138
296,4.938,0.004899
300,5.005,0.004978
304,5.072,0.011753
308,5.138,0.003003
312,5.205,0.002395
316,5.272,0.002634
320,5.339,0.002675
324,5.405,0.002255
328,5.472,0.001986
332,5.539,0.001869
336,5.606,0.001058
340,5.672,0.001121
344,5.739,0.001129
348,5.806,0.001898
352,5.873,0.00208
356,5.939,0.002019
360,6.006,0.002834
364,6.073,0.00204
368,6.139,0.001674
372,6.206,0.001659
376,6.273,0.001859
380,6.34,0.001358
384,6.406,0.001363
388,6.473,0.001372
392,6.54,0.001868
396,6.607,0.001529
400,6.673,0.001799
404,6.74,0.002462
408,6.807,0.001788
412,6.874,0.001393
416,6.94,0.001513
420,7.007,0.002429
424,7.074,0.001782
428,7.14,0.002036
432,7.207,0.00202
436,7.274,0.001871
440,7.341,0.001802
444,7.407,0.002015
448,7.474,0.002859
452,7.541,0.003733
456,7.608,0.002491
460,7.674,0.002182
464,7.741,0.00204
468,7.808,0.002249
472,7.875,0.002163
476,7.941,0.003752
480,8.008,0.003103
484,8.075,0.001823
488,8.141,0.002454
492,8.208,0.002508
496,8.275,0.002321
500,8.342,0.001795
504,8.408,0.002426
508,8.475,0.001929
512,8.542,0.003463
516,8.609,0.001799
520,8.675,0.001435
524,8.742,0.001246
528,8.809,0.001309
532,8.876,0.001533
536,8.942,0.000969
540,9.009,0.001561
544,9.076,0.001501
548,9.142,0.00122
552,9.209,0.000845
556,9.276,0.000975
560,9.343,0.001335
564,9.409,0.001045
568,9.476,0.001334
572,9.543,0.002492
576,9.61,0.001717
580,9.676,0.001599
584,9.743,0.001511
588,9.81,0.001397
592,9.877,0.001227
596,9.943,0.001291
600,10.01,0.001639
604,10.077,0.000967
608,10.143,0.008532
612,10.21,0.000663
616,10.277,0.000441
620,10.344,0.000484
624,10.41,0.000547
628,10.477,0.000463
632,10.544,0.000717
636,10.611,0.001191
640,10.677,0.001169
644,10.744,0.00113
648,10.811,0.001079
652,10.878,0.001897
656,10.944,0.001311
660,11.011,0.002249
664,11.078,0.002156
668,11.144,0.002105
672,11.211,0.001924
676,11.278,0.001822
680,11.345,0.002184
684,11.411,0.002067
688,11.478,0.002705
692,11.545,0.003884
696,11.612,0.002793
700,11.678,0.002478
704,11.745,0.002452
708,11.812,0.002483
712,11.879,0.001839
716,11.945,0.002295
720,12.012,0.00325
724,12.079,0.002955
728,12.145,0.002269
732,12.212,0.002553
736,12.279,0.002173
740,12.346,0.002227
744,12.412,0.002126
748,12.479,0.002056
752,12.546,0.003407
756,12.613,0.002279
760,12.679,0.002059
764,12.746,0.002508
768,12.813,0.002446
772,12.88,0.002215
776,12.946,0.002514
780,13.013,0.004108
784,13.08,0.002208
788,13.146,0.002
792,13.213,0.00267
796,13.28,0.001386
800,13.347,0.001656
804,13.413,0.001832
808,13.48,0.003661
812,13.547,0.003313
816,13.614,0.001658
820,13.68,0.002555
824,13.747,0.002167
828,13.814,0.002122
832,13.881,0.002115
836,13.947,0.002254
840,14.014,0.002167
844,14.081,0.001811
848,14.147,0.001887
852,14.214,0.001741
856,14.281,0.00161
860,14.348,0.001614
864,14.414,0.002499
868,14.481,0.001564
872,14.548,0.002096
876,14.615,0.001485
880,14.681,0.001431
884,14.748,0.001226
888,14.815,0.001235
892,14.882,0.001738
896,14.948,0.001303
900,15.015,0.002068
904,15.082,0.002054
908,15.148,0.00215
912,15.215,0.009593
916,15.282,0.001119
920,15.349,0.00042
924,15.415,0.001045
928,15.482,0.001598
932,15.549,0.001793
936,15.616,0.001586
940,15.682,0.001471
944,15.749,0.0017
948,15.816,0.001406
952,15.883,0.00081
956,15.949,0.001039
960,16.016,0.001803
964,16.083,0.00166
968,16.149,0.001648
972,16.216,0.001362
976,16.283,0.001034
980,16.35,0.001063
984,16.416,0.001148
988,16.483,0.000956
992,16.55,0.001131
996,16.617,0.001416
1000,16.683,0.002041
1004,16.75,0.001837
1008,16.817,0.002187
1012,16.884,0.002155
1016,16.95,0.00136
1020,17.017,0.001153
1024,17.084,0.001411
1028,17.15,0.002357
1032,17.217,0.002116
1036,17.284,0.001959
1040,17.351,0.002959
1044,17.417,0.00173
1048,17.484,0.001673
1052,17.551,0.001784
1056,17.618,0.001706
1060,17.684,0.001467
1064,17.751,0.00134
1068,17.818,0.00166
1072,17.885,0.000982
1076,17.951,0.001271
1080,18.018,0.002229
1084,18.085,0.003217
1088,18.151,0.001097
1092,18.218,0.000932
1096,18.285,0.001456
1100,18.352,0.001154
1104,18.418,0.001179
1108,18.485,0.001376
1112,18.552,0.002157
1116,18.619,0.000652
